name,author,district_name,address,collect_status,estimation,category,summary,body,Adresse,Résumé,Objectif
"
café littèraire
",Toumbou Bocar ,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,60000,Culture et loisirs,,"ce café littéraire est un carrefour des cultures,un lieu qui propose de rendre le livre familier et le plaisir de la culture accessible à tous.",,"Céfé littéraire, lieu d'échanges de savoirs et de débat, pouvant accueillir jusqu'à 30 personnes dans le but favoriser l'accès de tous à la lecture et à la création littéraire.

nous proposons un club Ado,un atelier parents lecteurs,un club de lecture ain",Mettre dans les quartiers dit populaire l'amour de la lecture
Les petits pots dans les grands,Virginie Warion,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,33000,Aménagement et Mobilier Urbain,,"Dans l'idée que le beau appelle le beau, et dans la continuité d'une expérience déjà mené ( fabrication et mise en place d'un très gros bac à fleurs à un endroit  habituellement occupé par des tas de déchets sauvages),  nous souhaiterions mettre en place de très gros pots de couleur ou bacs plantés sur le trottoir entre les numéros  42 et 60 de la rue Nungesser, au droit de la clôture du cap Nungesser et ainsi créer une coupure végétal entre habitat et activité.",42 et 60 de la rue Nungesser,"Fédérer, occuper, améliorer la cohabitation ent re habitantet activité, impliquer les habitants dans l'évolution du quartier Nungesser Coli. Apporter une continuité au projet du jardin partagé Le petit Jardin, mise en place par les habitants en invitant l",impliquer les habitants dans l'évolution du quartier
Salaris,YAHYA ADJI,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Les cabines téléphoniques ne sont plus utilisées et sont démontées. Il en reste 2 place de la République sans panneaux solaires et de branchements pour recharger tout types de téléphone ou de tablette sans que la consommation électrique retombe sur la collectivité ,,"Faciliter l'accès à la téléphonie mobile pour les
personnes les plus défavorisées et aussi pour les
personnes en panne de batterie de téléphone

Certaines personnes très défavorisées n'ont pas de
lieux ou les recharger. Certains se branchent sur
les prise"," Faciliter l'accès à la téléphonie mobile,  pour les personnes les plus défavorisées et aussi pour les personnes en panne de batterie de téléphone "
La terrasse Robert Legros,Yildirim Harun,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Installation de bancs et différents mobiliers urbain en face de la maison de quartier du Grand Air – Espace 18 ,17 rue des petits pêchers,"Création d'un lieu de rencontre : Installer des bancs
et du mobilier urbain en face de la maison de quartier
du grand air – Espace 18",à déterminer les objectifs
(R) évolution des espaces verts,Yohan sancerni,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Espaces verts,,Le quartier de La noue-clos français dispose de beaucoup d'espaces verts non utilisés et pas mis en valeur. Ces espaces verts sont malheureusement en majorité juste des crottoires pour chiens.Avec cela des accès plus aménagés avec des bancs et passages tracés dans les espaces laissés à l'abandon.,Quartier de La Noue – Clos Français,Rendre les espaces verts plus vivants et participatifs,rendre les espaces verts plus vivants et participatifs
"
Un skatepark appelé « Les Merrics »
",ZENNOU Zachary,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,140000,Sports,,"
Un skatepark appelé « Les Merrics »
","la place des hautes hules près du terrain de
football synthétique rue Lenain de Tillemont","Skatepark à la place des hautes hules près du terrain de football synthétique rue Lenain de Tillemont
",
Double-sens cyclable rue François Arago,Anonyme,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,500,"Mobilité, circulation",,Double-sens cyclable rue François Arago,"Portion de rue François Arago entre la rue
Diderot et la rue Gambetta","Cette portion est en sens unique.Matérialiser
un double-sens cyclable, par des panneaux
à chaque extrémité et un marquage au sol",
"La mobilité, l'accessibilité pour les personnes handicapées et âgées",Anonyme,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,"Mobilité, circulation",,"Rendre accessible pour les personnes handicapées (tous handicapes) et pour les personnes âgées, tous les lieux de la ville. Par exemple : Améliorer la signalitique pour les personnes mal voyantes, retirer les poteaux noir (ou insérer des couloirs visible), élargir et bien éclairer les trottoirs, intégrer des signaux sonores pour indiquer que l'on peut traverser, etc. ",TOUTE LA VILLE,"Rendre accessible aux personnes handicapées (tout handicap) et aux personnes âgées : commerce, restaurant, mobilité dans la ville « largeur des trottoirs) et signalétique



Les aménagements (élargissement et revêtement) de trottoir sur le tronçon de la r","Rendre accessible aux personnes handicapé (tout handicape) et aux personnes âgées : commerce, restaurant, mobilité dans la ville (largeur des trottoirs), signalétiques  "
Mon vélo sans soucis,Anonyme,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,"Mobilité, circulation",,"Innover en investissant dans du mobilier urbain spécifique et visiblement incitatif à la pratique du vélo,Enfin le passage en zone 30 de l'intégralité du territoire devrait nous permettre d'envisager un futur plus serein et plus efficace à tout point de vue pour nos déplacements dans notre ville.",La ville,"Pour une ville plus humaine et plus apaisée, faciliter les déplacements à vélo en investissant dans un écosystème urbain adapté aux déplacements à vélo","Pour une ville plus humaine et plus apaisée, faciliter les déplacements à vélo en investissant dans un écosystème urbain adapté aux déplacements à vélo."
Paul Signac et peintures : un parcours découverte,Anonyme,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Culture et loisirs,,La proposition fusionnée  qui pourrait intituler « Parcours et aventure Signac »  intègre donc : L'aménagement du local et la signalétique permettant de rendre visible et pérenniser les informations urbaines glanées lors du travail d'enquête mené  par la Cie Fictions collectives dans le cadre du projet de l'aventure Signac. ,Quartier Paul Signac,Embellir le quartier, Embellir le quartier Paul Signac - Faire découvrir les œuvres du peintre qui porte ce nom
"Piétonnisation des rues de la place du marché
Et de la place du marché",Anonyme,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"L'idée est de transformer la place du marché en véritable place piétonne. La fermeture des rues se feraient avec des poteaux amovibles pour que les camions de marché puissent s'installer et permettre la livraison des commerces.De plus, l'absence de chaussée permet d'avoir une surface pour les événements plus grandes.",la place du marché et rue de la place du marché,"Transformer la place du marché en véritable place piétonne.
La fermeture des rues adjacentes ainsi que leur mise à
niveau par rapport au trottoir permettra aux commerces
riverains de proposer des terrasses (beaucoup de
restaurants et bar).

La fermetures ",Amélioration de la qualité de vie et de la sécurité
"Près des yeux, près du cœur",Anonyme,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Culture et loisirs,,"Le projet est une installation urbaine reliant le haut et le bas Montreuil, elle serait accessible à tous le monde selon les horaires d'ouverture au public des sites choisis. Ce projet s'ancre également dans l'histoire économique de la ville. ","sur la terrasse de Mozinor et celle du site retenu du
Bas Montreuil","Installer sur la terrasse de Mozinor et celle du site retenu du Bas Montreuil, deux longues-vues fixes, puissantes, dirigées l'une vers l'autre","Relier le haut et le bas Montreuil, voir la ville autrement, découvrir  et s'amuser en même temps "
Réaménagement espace ex-PARCABOUT,Anonyme,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,250000,Urbanisme,,"Agrandir l'espace clos en déplaçant le grillage qui sépare de la Grande Halle pour récupérer la pelouse (jusque la partie goudronnée) Les enfants pourraient jouer au ballon, les parents restant à l'ombre, se ferait aussi un lieu idéal de pique-nique avec un BBQ collectif (à imaginer?)",Rue Barbeuf situé angle rue Babeuf et Blvd Théophile Sueur,Réaménagement espace ex-PARCABOUT," vie de quartier animation jeunesse, Espace clos permettant l'accueil de familles avec jeunes enfants, groupes d'écoles, centres de loisir."
